drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders
lisuride,0.010221465076660987,0.04770017035775128,0.0017035775127768314,0.028960817717206135,0.0017035775127768314,0.010221465076660987,0.14310051107325383,0.14821124361158433,0.0068143100511073255,0.0,0.01192504258943782,0.013628620102214651,0.015332197614991482,0.005110732538330494,0.010221465076660987,0.0034071550255536627,0.16524701873935263,0.0017035775127768314,0.0,0.12265758091993186,0.010221465076660987,0.01192504258943782,0.03747870528109029,0.0817717206132879,0.0017035775127768314,0.0,0.10902896081771721
lobeline,0.0,0.05172413793103448,0.017241379310344827,0.0,0.0,0.034482758620689655,0.1206896551724138,0.1206896551724138,0.0,0.017241379310344827,0.017241379310344827,0.0,0.0,0.017241379310344827,0.017241379310344827,0.0,0.08620689655172414,0.0,0.0,0.08620689655172414,0.0,0.0,0.034482758620689655,0.3103448275862069,0.0,0.0,0.06896551724137931
lobenzarit,0.0,0.0,0.0,0.0,0.0,0.0,0.3870967741935484,0.0,0.06451612903225806,0.0,0.0,0.0,0.03225806451612903,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,0.0,0.06451612903225806,0.0,0.0,0.0
lodoxamide,0.0,0.051490514905149054,0.0,0.01084010840108401,0.0,0.18157181571815717,0.1002710027100271,0.14634146341463414,0.0,0.02168021680216802,0.04878048780487805,0.016260162601626018,0.008130081300813009,0.0027100271002710027,0.005420054200542005,0.0,0.15718157181571815,0.0,0.0,0.01084010840108401,0.0,0.005420054200542005,0.02981029810298103,0.07859078590785908,0.0,0.0,0.12466124661246612
lofepramine,0.01935767707875055,0.03937527496700396,0.0032996040475142983,0.009238891333040036,0.004179498460184778,0.01627804663440387,0.11460624725032996,0.05829300483941927,0.09898812142542895,0.006599208095028597,0.006819181698196217,0.006819181698196217,0.024417069951605808,0.02375714914210295,0.011658600967883855,0.0002199736031676199,0.1295644522657281,0.0032996040475142983,0.0006599208095028596,0.07941047074351078,0.03277606687197536,0.027056753189617245,0.010558732952045754,0.23471183457985043,0.0,0.0002199736031676199,0.03783545974483062
lofexidine,0.005319148936170213,0.11702127659574468,0.0,0.010638297872340425,0.0,0.010638297872340425,0.09574468085106383,0.11702127659574468,0.0,0.005319148936170213,0.005319148936170213,0.05319148936170213,0.07446808510638298,0.015957446808510637,0.015957446808510637,0.0,0.17553191489361702,0.0,0.0,0.09042553191489362,0.0,0.005319148936170213,0.047872340425531915,0.03723404255319149,0.010638297872340425,0.0,0.10638297872340426
lomerizine,0.047619047619047616,0.023809523809523808,0.0,0.047619047619047616,0.0,0.047619047619047616,0.023809523809523808,0.16666666666666666,0.0,0.0,0.023809523809523808,0.023809523809523808,0.09523809523809523,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.2619047619047619,0.023809523809523808,0.0,0.047619047619047616,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.023809523809523808
lomitapide,0.003462426263144396,0.018850987432675045,0.0005129520389843549,0.0025647601949217746,0.0008976660682226212,0.005001282380097461,0.21120800205180815,0.09899974352398051,0.008207232623749679,0.004103616311874839,0.0455244934598615,0.08143113618876635,0.17466016927417286,0.027058220056424723,0.05296229802513465,0.003590664272890485,0.05116696588868941,0.00012823800974608873,0.0011541420877147987,0.021031033598358555,0.013977943062323672,0.001923570146191331,0.022056937676327264,0.018979225442421133,0.003847140292382662,0.1150294947422416,0.011669658886894075
lonidamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lopinavir,0.01946787800129786,0.020116807268007787,0.015574302401038288,0.0012978585334198572,0.007787151200519144,0.010382868267358857,0.109020116807268,0.10707332900713822,0.038286826735885786,0.016872160934458143,0.07008436080467229,0.1473069435431538,0.06035042180402336,0.06683971447112265,0.026606099935107073,0.007787151200519144,0.03374432186891629,0.11226476314081765,0.0,0.01427644386761843,0.02465931213497729,0.006489292667099286,0.016223231667748216,0.04866969500324465,0.0012978585334198572,0.006489292667099286,0.011031797534068787
lorcaserin,0.0013155421913174216,0.02480736703627138,0.0,0.0054501033640293175,0.0009396729937981583,0.011651945123097163,0.10712272129299004,0.26649126104115767,0.0011276075925577898,0.002631084382634843,0.014283029505732006,0.019921067468520955,0.05562864123285097,0.017853786882165008,0.052057883856417964,0.0022552151851155796,0.23604585604209735,0.0,0.001691411388836685,0.08269122345423792,0.012215748919376056,0.012779552715654952,0.02405562864123285,0.03138507799285849,0.003194888178913738,0.0007517383950385266,0.011651945123097163
lornoxicam,0.012897282358360202,0.037770612620912025,0.00046061722708429296,0.006909258406264394,0.0,0.019345923537540305,0.21234454168585906,0.12805158912943343,0.016582220175034548,0.0262551819438047,0.006909258406264394,0.005066789497927222,0.041455550437586364,0.008751727314601566,0.017964071856287425,0.0013818516812528789,0.08383233532934131,0.0,0.00046061722708429296,0.021188392445877474,0.03132197144173192,0.0027637033625057578,0.06172270842929525,0.2224781206817135,0.0,0.00046061722708429296,0.03362505757715339
loteprednol,0.000449842555105713,0.005847953216374269,0.000899685110211426,0.012595591542959963,0.000449842555105713,0.33063427800269907,0.031938821412505626,0.14304993252361672,0.0,0.0346378767431399,0.026540710751237068,0.13405308142150246,0.048133153396311294,0.004948268106162843,0.008097165991902834,0.000449842555105713,0.06972559604138552,0.000449842555105713,0.023391812865497075,0.019343229869545658,0.003598740440845704,0.000449842555105713,0.0310391363022942,0.058029689608636977,0.000899685110211426,0.004948268106162843,0.005398110661268556
